1 64 5
1 79 3
1 440 4
1 468 3
2 33 7
2 182 6
2 192 7
2 502 8
2 533 8
3 64 2
3 166 1
3 194 2
3 222 1
4 66 3
4 81 4
4 131 4
4 141 6
4 326 2
4 347 4
4 358 4
4 483 6
5 10 5
5 76 6
5 79 2
5 212 5
5 219 5
5 259 4
6 103 5
6 106 5
6 145 6
6 241 6
6 429 2
7 122 8
7 158 8
7 185 8
7 190 7
7 218 8
7 235 3
7 415 7
7 484 8
7 506 8
8 378 7
8 435 3
8 463 6
8 471 5
9 123 5
9 144 6
9 207 6
9 444 5
9 473 5
10 76 6
10 212 5
10 304 4
11 30 6
11 36 6
11 114 7
11 160 6
11 243 6
11 244 6
11 317 5
11 339 5
11 392 5
12 24 7
12 92 7
12 112 7
12 284 7
12 320 6
12 531 7
13 54 5
13 69 8
13 83 6
13 135 5
13 168 6
13 169 6
13 377 3
14 133 4
14 214 4
14 270 3
14 330 5
14 361 3
14 397 4
15 16 4
15 87 4
15 308 7
15 321 6
15 364 5
15 381 6
15 391 6
15 461 5
16 25 7
16 39 6
16 104 7
16 364 6
16 406 6
17 44 4
17 202 4
17 263 4
17 273 2
17 276 4
17 363 5
18 56 6
18 82 1
18 118 4
18 209 5
18 286 7
18 487 4
18 501 5
19 99 4
19 161 3
19 326 1
19 514 3
20 73 1
20 174 3
20 271 4
20 343 3
20 422 4
20 426 5
20 495 3
21 34 4
21 106 4
21 109 4
21 345 8
21 438 4
21 479 4
23 142 3
23 165 3
23 292 3
23 350 2
23 450 5
23 476 4
23 498 4
24 38 5
24 92 6
24 112 8
24 278 6
24 284 6
24 320 5
24 475 4
24 531 6
25 39 6
25 104 6
25 364 7
25 406 7
26 110 3
26 144 1
26 147 5
26 170 6
26 280 5
26 373 4
26 387 6
26 491 6
27 60 3
27 84 6
27 98 1
27 100 2
27 298 4
28 58 6
28 106 4
28 109 6
28 145 6
28 241 6
28 269 5
28 297 7
28 438 6
28 515 7
29 89 5
29 124 4
29 151 4
29 181 4
29 390 3
29 452 4
29 459 4
29 477 6
29 493 3
30 36 7
30 114 5
30 160 8
30 234 5
30 243 8
30 244 8
30 339 6
30 403 4
31 367 5
31 369 6
31 390 4
31 430 5
31 464 5
31 493 5
32 396 0
33 137 6
33 182 7
33 192 8
33 247 5
33 268 6
33 305 4
33 502 7
33 533 7
34 46 6
34 155 7
34 260 6
34 329 7
34 334 6
34 345 4
34 479 8
35 57 6
35 63 6
35 75 4
35 163 7
35 213 6
35 265 6
35 331 3
35 418 8
35 504 6
36 40 5
36 114 5
36 160 7
36 243 7
36 244 7
36 339 7
37 50 2
37 108 7
37 124 4
37 216 8
37 294 4
37 319 8
37 452 4
37 465 3
38 92 6
38 186 5
38 205 6
38 278 6
38 284 6
38 320 7
38 402 6
38 531 7
39 104 6
39 364 5
39 406 6
40 127 3
40 339 5
40 486 3
41 82 4
41 136 3
41 204 6
41 251 0
41 322 3
41 359 3
42 85 8
42 90 8
42 201 6
42 230 8
42 315 8
42 422 5
42 437 8
42 446 7
42 534 7
43 71 3
43 98 3
43 352 3
43 383 6
43 385 2
43 409 3
43 412 6
43 413 5
43 480 6
44 156 4
44 162 1
44 170 2
44 202 4
44 263 2
44 276 2
44 280 3
44 379 3
45 151 1
45 165 4
45 179 4
45 200 3
45 231 4
45 350 4
45 498 1
46 52 5
46 155 6
46 260 6
46 290 4
46 329 7
46 334 6
46 357 5
46 479 6
47 111 5
47 161 7
47 172 5
47 242 2
47 250 7
47 462 7
47 508 6
48 70 4
48 269 3
48 307 4
48 311 6
48 371 4
48 416 3
48 505 6
49 95 6
49 500 6
50 130 8
50 176 8
50 187 8
50 319 2
50 421 7
50 457 8
50 465 7
50 478 6
51 227 6
51 239 5
51 245 7
51 313 0
51 335 7
51 405 4
51 529 7
52 290 6
52 307 3
52 371 5
53 129 4
53 252 6
53 287 8
53 291 3
53 337 6
53 398 5
53 432 3
53 454 6
53 469 6
54 83 6
