1 5 8
1 9 8
1 33 10
1 45 8
1 180 8
1 182 9
1 184 8
1 202 9
2 16 7
3 25 3
3 145 4
3 292 6
4 8 6
5 7 8
5 182 11
5 184 10
5 202 7
6 139 12
6 144 12
6 146 12
6 147 12
6 153 12
6 155 11
6 157 11
6 159 12
6 161 11
6 179 12
6 239 12
6 285 12
7 9 8
7 11 11
7 27 12
7 110 9
7 180 11
7 182 10
7 184 11
7 202 12
9 11 10
9 13 9
9 31 7
9 33 11
9 45 12
9 180 10
9 182 7
9 202 9
10 139 11
10 155 12
10 157 12
10 161 12
10 179 11
11 13 6
11 27 12
11 33 9
11 45 9
11 110 11
11 180 13
11 182 8
11 184 9
11 202 12
13 21 9
13 31 10
13 33 9
13 45 10
13 47 9
13 55 7
13 180 6
15 59 10
15 61 4
15 176 10
17 39 8
17 59 9
17 288 6
17 320 10
17 332 8
17 333 7
21 25 10
21 31 10
21 33 5
21 47 13
21 55 11
21 104 10
23 118 9
23 259 6
23 270 2
23 319 8
23 345 10
25 47 10
25 49 9
25 55 10
25 104 10
25 293 7
26 110 10
27 110 10
27 180 12
27 184 10
27 202 13
29 71 8
29 73 10
29 75 11
29 79 9
29 190 9
31 45 8
31 47 10
31 106 8
33 45 11
33 47 5
33 180 9
33 182 7
33 202 8
37 49 8
37 102 11
37 108 11
37 128 9
37 242 9
37 244 10
37 303 11
39 59 6
39 118 8
39 260 6
39 288 8
39 319 5
39 332 9
39 345 6
41 43 10
41 63 10
41 73 9
41 75 8
41 77 9
41 83 12
41 126 9
41 218 12
41 220 6
41 224 12
41 230 8
41 262 7
41 279 6
43 63 8
43 73 7
43 83 10
43 218 10
43 222 3
43 224 10
43 230 6
43 262 8
43 263 7
43 279 7
45 180 9
45 182 6
45 202 8
47 55 11
47 104 10
48 92 7
48 141 4
48 181 4
49 55 9
49 102 9
49 108 9
49 120 8
49 242 10
49 244 9
49 293 7
53 69 12
53 188 8
53 327 11
55 102 7
55 104 12
61 63 4
61 71 8
61 75 5
61 77 5
61 91 9
61 170 8
63 71 7
63 73 11
63 75 11
63 77 12
63 83 9
63 91 7
63 126 11
63 218 11
63 224 9
63 230 10
67 200 7
68 76 6
69 312 10
69 317 11
69 327 11
69 338 10
71 73 8
71 75 9
71 77 8
71 91 8
73 75 11
73 77 10
73 83 9
73 126 9
73 218 10
73 224 9
73 262 5
75 77 12
75 83 8
75 91 7
75 126 10
75 218 9
75 224 8
75 230 8
77 83 8
77 91 7
77 126 11
77 218 10
77 224 8
77 230 9
78 80 1
82 229 4
83 126 8
83 218 11
83 220 7
83 224 13
83 230 7
83 262 8
83 263 7
83 279 7
84 134 3
84 222 6
84 237 7
85 240 7
85 257 8
85 275 6
85 276 9
85 292 7
87 238 3
87 240 9
87 276 5
88 127 8
88 149 3
89 138 11
89 212 7
89 248 10
89 261 8
89 274 8
89 275 6
89 277 8
89 278 7
89 291 9
89 296 6
90 267 4
91 126 8
91 170 5
91 230 7
91 268 1
92 119 3
92 141 3
95 124 10
95 138 11
95 212 10
95 248 10
95 261 10
95 278 8
95 296 8
95 324 11
95 344 10
97 98 10
97 112 11
97 114 8
97 134 10
97 136 7
97 226 8
97 264 9
97 265 9
97 266 10
97 280 9
97 281 9
97 282 12
97 308 10
98 112 11
98 114 11
98 134 8
98 136 10
98 266 7
98 281 12
98 282 11
98 283 7
98 297 7
98 308 13
98 309 10
100 118 8
100 152 10
100 234 9
100 238 7
100 240 9
100 257 8
100 259 10
100 260 7
100 276 8
100 319 10
100 345 6
102 108 9
102 120 10
102 128 8
102 242 8
102 244 8
102 303 9
102 313 6
103 169 12
103 249 13
105 113 10
107 109 7
108 242 10
108 244 11
110 180 11
110 202 10
112 114 10
112 134 10
112 136 9
112 226 6
112 264 7
112 266 8
112 267 5
112 280 7
112 281 11
112 282 12
112 308 11
112 309 9
114 134 7
114 136 12
114 267 7
114 281 11
114 282 9
114 283 9
114 297 9
114 298 6
114 308 11
114 309 12
116 124 7
116 132 9
116 144 5
116 153 5
116 159 6
116 179 5
116 212 7
116 239 5
116 261 6
116 278 7
116 307 6
117 140 8
117 145 9
118 152 7
118 259 7
118 319 10
119 141 8
120 242 8
124 132 8
124 212 11
124 278 11
124 344 8
126 194 3
126 218 10
126 224 8
126 230 9
127 149 3
128 130 9
128 142 8
128 244 6
128 271 8
128 303 10
128 304 10
128 313 10
128 321 9
130 142 10
130 148 10
130 150 8
130 232 8
130 271 10
130 303 7
130 304 9
130 313 11
130 321 13
130 330 9
130 334 8
130 335 10
131 245 9
132 144 2
132 159 3
132 212 8
132 261 9
132 278 10
132 287 10
133 135 8
134 222 8
134 226 7
134 264 8
134 266 9
134 267 4
134 280 8
134 281 9
134 282 9
136 267 7
136 281 10
136 282 8
136 283 10
136 297 10
136 298 7
136 308 10
136 309 13
138 248 11
138 261 10
