1 55 1
2 9 1
2 10 1
2 49 0
3 27 2
3 51 0
3 53 2
4 6 2
4 11 1
4 32 1
5 69 2
7 12 2
7 28 2
8 16 1
8 17 1
9 10 2
9 30 0
11 15 2
11 32 2
12 28 2
12 31 1
13 16 0
14 51 2
15 32 2
17 59 1
18 51 0
18 56 1
20 145 1
20 176 1
20 177 1
21 40 0
21 41 1
22 142 1
23 30 1
24 39 1
25 146 0
26 176 2
26 177 2
27 53 2
28 31 1
29 36 2
30 42 2
31 59 0
33 48 2
33 57 1
35 38 1
35 43 2
35 46 1
37 45 1
37 71 1
37 75 1
38 43 1
38 56 1
40 79 1
41 142 1
43 46 1
44 61 2
44 66 1
44 162 1
45 75 2
45 158 1
47 49 2
47 55 1
48 57 1
49 55 1
50 52 1
50 58 1
52 58 2
57 74 2
61 66 1
61 162 1
62 86 2
62 92 1
63 121 1
63 148 0
63 155 0
64 98 0
64 104 1
64 147 1
65 95 1
65 118 1
65 123 1
66 110 2
67 68 1
67 93 0
67 107 1
68 107 2
69 169 1
69 175 1
71 158 1
72 100 2
72 104 0
72 116 2
73 128 1
73 157 1
73 172 1
75 158 1
76 98 1
76 103 1
76 114 2
78 151 2
78 152 0
80 128 0
81 94 2
82 101 1
82 137 2
82 156 1
83 90 1
84 107 0
84 161 1
84 166 1
85 143 1
85 161 1
86 92 1
86 103 0
87 108 2
87 117 2
88 102 2
88 120 2
88 133 0
89 105 1
89 168 1
91 157 1
93 108 1
93 117 1
94 106 1
94 109 1
95 118 2
95 129 0
97 131 2
98 114 1
99 135 2
99 149 2
99 173 1
100 116 2
101 136 0
101 137 1
102 120 2
103 114 1
104 147 2
106 109 2
106 112 1
108 117 2
109 112 1
111 133 1
111 163 2
112 129 0
113 134 1
113 141 1
115 124 2
115 125 2
115 126 2
121 160 1
122 152 1
124 125 2
124 126 2
125 126 2
127 129 1
130 139 1
131 170 1
133 178 1
134 140 1
134 141 2
135 149 2
136 168 1
137 156 1
138 143 1
138 171 1
139 140 0
140 141 1
143 166 0
144 178 1
148 160 1
148 165 1
149 173 1
155 170 0
156 174 0
157 172 2
159 173 2
160 165 2
161 166 1
162 164 2
169 174 1
169 175 2
174 175 1
176 177 2
