1 25 12
1 57 9
1 338 9
2 182 10
2 219 11
2 234 9
2 251 12
2 253 9
2 257 9
2 261 8
2 301 10
2 324 12
2 374 13
2 394 10
2 450 12
2 536 6
2 564 7
3 34 6
3 79 10
3 96 8
3 199 7
3 211 10
3 238 7
3 281 9
3 303 12
3 322 10
3 367 13
3 488 9
3 518 11
3 534 9
3 566 10
5 79 10
5 130 7
5 211 9
5 322 9
5 344 6
5 373 11
5 433 9
5 518 10
5 534 10
6 9 10
6 10 11
6 48 7
6 194 11
6 230 11
7 31 10
7 43 10
7 46 13
7 78 12
7 86 13
7 88 12
7 122 12
7 128 10
7 135 13
7 169 11
7 283 9
7 318 7
7 434 11
7 499 13
7 517 7
8 44 13
8 65 10
8 93 8
8 101 12
8 127 10
8 436 10
8 513 10
9 10 7
9 45 10
9 48 9
9 194 9
9 230 8
9 466 9
10 194 8
10 205 7
10 230 12
10 519 8
11 17 6
11 35 6
11 76 7
11 132 10
11 133 11
11 142 6
11 173 6
11 224 7
11 231 6
11 329 10
11 331 6
11 371 11
11 490 8
11 567 10
12 18 12
12 29 12
12 35 11
12 76 11
12 119 13
12 142 11
12 183 13
12 259 12
12 393 12
13 28 9
13 54 10
13 84 12
13 245 7
13 278 9
13 390 12
13 452 5
14 134 11
14 352 11
14 376 13
14 407 8
14 480 9
14 485 8
14 509 9
14 510 8
15 20 9
15 50 9
15 221 11
15 241 10
15 244 8
15 309 11
15 358 8
15 424 11
15 443 10
15 484 10
15 524 13
15 545 11
15 561 6
16 23 9
16 27 4
16 58 10
16 63 12
16 66 12
16 185 10
16 206 8
16 210 9
16 258 10
16 415 9
16 473 9
16 515 11
16 563 9
17 29 3
17 118 10
17 132 9
17 173 12
17 200 6
17 204 11
17 224 11
17 354 8
18 29 10
18 33 4
18 35 10
18 76 9
18 119 11
18 142 10
18 183 11
18 259 10
18 393 13
19 24 9
19 25 6
19 109 10
19 163 9
19 165 8
19 220 14
19 273 11
19 370 10
20 50 10
20 94 9
20 126 6
20 150 6
20 221 12
20 222 6
20 225 9
20 309 11
20 424 11
20 443 7
20 524 9
20 527 9
20 546 7
21 59 11
21 80 9
21 82 8
21 144 9
21 151 8
21 209 10
21 248 10
21 307 9
21 313 6
21 332 11
21 385 8
21 403 11
